tyre_id,brand,model,tyre_size,width_mm,aspect_ratio,rim_inch,season_type,tyre_segment,vehicle_type,vehicle_weight_kg,drive_type,wheel_position,country,region,city,latitude,longitude,climate_zone,road_type,measurement_date,season_of_year,mileage_km,td_initial_mm,td_current_mm,td_inner_mm,td_center_mm,td_outer_mm,wear_mm,wear_rate_mm_10000km,predicted_life_km,remaining_life_km,fuel_efficiency_class,wet_grip_class,noise_db,rolling_resistance,price_eur,cost_per_1000km,risk_class,cluster_id
TYR00011,Hankook,HAN-Sport-208,195/65 R15,195,65,15,winter,mid-range,ev,1881.0,fwd,rear_right,Germany,Western Europe,Berlin,52.44842,13.45647,continental,urban,2021-12-14,winter,31648.0,7.65,5.72,5.45,5.86,5.69,1.93,0.609,99262.0,67614.0,E,C,71.8,4.16,223.93,2.26,low,0
TYR00012,Pirelli,PIR-Tour-999,205/55 R16,205,55,16,winter,premium,family,1499.0,awd,front_left,Germany,Western Europe,Berlin,52.48127,13.37879,continental,rural,2022-08-20,summer,26997.0,7.41,5.01,4.73,4.94,4.96,2.4,0.888,65404.0,38407.0,B,A,73.4,5.9,278.78,4.26,low,0
TYR00013,Pirelli,PIR-Grip-231,195/65 R15,195,65,15,summer,premium,fleet,1518.0,fwd,front_left,Germany,Western Europe,Berlin,52.47274,13.43025,continental,mountain,2019-10-11,autumn,23103.0,8.28,6.09,5.98,6.29,5.79,2.19,0.948,70417.0,47314.0,E,B,71.6,3.37,245.57,3.49,low,0
TYR00014,Goodyear,GOO-Tour-548,225/45 R17,225,45,17,all-season,premium,fleet,1619.0,rwd,front_right,Norway,Northern Europe,Oslo,60.06085,10.98461,cold,rural,2021-04-03,spring,14586.0,8.23,7.07,6.76,6.93,6.83,1.16,0.795,83351.0,68765.0,C,B,71.9,4.92,305.27,3.66,low,0
TYR00015,BudgetRoad,BUD-Eco-172,195/65 R15,195,65,15,summer,budget,family,1437.0,fwd,rear_left,Poland,Eastern Europe,Warsaw,52.31072,21.02463,continental,urban,2025-08-06,summer,22852.0,7.48,5.78,5.73,5.76,5.74,1.7,0.743,79149.0,56297.0,C,C,74.0,5.25,162.67,2.06,low,0
TYR00016,Pirelli,PIR-Sport-690,195/65 R15,195,65,15,summer,premium,suv,1840.0,fwd,front_right,Portugal,Southern Europe,Lisbon,38.58273,-9.0651,mediterranean,mixed,2024-06-11,summer,24622.0,8.17,6.46,6.24,6.48,6.28,1.71,0.694,94718.0,70096.0,A,A,73.9,7.62,270.1,2.85,low,0
TYR00017,Pirelli,PIR-Eco-789,235/45 R18,235,45,18,winter,premium,family,1311.0,fwd,front_left,Norway,Northern Europe,Oslo,59.94014,10.89039,cold,mountain,2022-12-22,winter,22309.0,8.11,5.76,5.4,5.75,5.74,2.35,1.052,61902.0,39592.0,B,B,71.2,6.33,297.78,4.81,low,0
TYR00018,Michelin,MIC-Grip-385,235/45 R18,235,45,18,all-season,premium,suv,1771.0,fwd,front_right,Spain,Southern Europe,Madrid,40.36101,-3.62463,mediterranean,highway,2021-02-18,winter,21828.0,8.76,7.05,6.72,7.19,6.98,1.71,0.782,91561.0,69734.0,C,A,73.0,5.37,330.43,3.61,low,0
TYR00019,Pirelli,PIR-Grip-270,195/65 R15,195,65,15,winter,premium,fleet,1793.0,fwd,front_left,Norway,Northern Europe,Oslo,59.81658,10.69851,cold,rural,2019-03-02,spring,56404.0,8.79,2.1,1.71,2.22,2.0,6.69,1.186,60627.0,4222.0,E,E,73.4,3.04,247.42,4.08,high,2
TYR00020,BudgetRoad,BUD-Drive-392,235/45 R18,235,45,18,summer,budget,ev,1430.0,fwd,front_right,Sweden,Northern Europe,Stockholm,59.3944,18.15408,cold,mountain,2019-01-09,winter,26756.0,8.04,4.89,4.76,4.77,4.66,3.14,1.175,54802.0,28046.0,E,B,73.0,3.88,202.31,3.69,low,0
TYR00021,BudgetRoad,BUD-Eco-698,205/55 R16,205,55,16,summer,budget,suv,1897.0,fwd,front_left,Sweden,Northern Europe,Stockholm,59.43562,18.13714,cold,rural,2025-01-29,winter,23951.0,8.79,5.69,5.51,5.63,5.56,3.1,1.296,55506.0,31555.0,A,B,73.6,7.88,169.8,3.06,low,0
TYR00022,Goodyear,GOO-Eco-683,195/65 R15,195,65,15,all-season,premium,city,1321.0,fwd,front_left,Norway,Northern Europe,Oslo,59.80088,10.56739,cold,rural,2019-10-06,autumn,51920.0,7.22,1.55,1.2,1.42,1.42,5.67,1.092,51920.0,0.0,C,A,73.7,5.74,258.8,4.98,critical,3
TYR00023,Michelin,MIC-Tour-505,255/40 R19,255,40,19,summer,premium,ev,2148.0,awd,rear_left,France,Western Europe,Lyon,45.83036,4.67626,temperate,mixed,2021-04-16,spring,36697.0,7.25,4.99,4.79,5.06,4.93,2.25,0.614,91958.0,55261.0,C,B,73.0,5.38,366.89,3.99,low,0
TYR00024,Bridgestone,BRI-Grip-618,235/45 R18,235,45,18,winter,mid-range,city,1064.0,fwd,rear_right,Italy,Southern Europe,Milan,45.34576,9.11895,mediterranean,rural,2025-04-25,spring,22393.0,8.39,6.38,6.34,6.37,6.16,2.01,0.896,75751.0,53358.0,E,A,72.6,3.12,274.31,3.62,low,0
TYR00025,Goodyear,GOO-Sport-926,225/45 R17,225,45,17,summer,premium,family,1637.0,rwd,rear_left,Germany,Western Europe,Berlin,52.54629,13.43395,continental,highway,2023-11-30,autumn,14775.0,8.7,7.87,7.69,7.83,7.7,0.83,0.562,126414.0,111638.0,D,C,72.8,4.69,271.87,2.15,low,0
TYR00026,Michelin,MIC-Tour-719,255/40 R19,255,40,19,winter,premium,city,1378.0,fwd,rear_left,Poland,Eastern Europe,Warsaw,52.22763,21.03731,continental,urban,2020-03-14,spring,42663.0,8.06,4.98,4.6,4.98,4.95,3.09,0.724,89327.0,46664.0,C,A,73.5,5.12,349.15,3.91,low,0
TYR00027,Hankook,HAN-Tour-145,205/55 R16,205,55,16,all-season,mid-range,suv,1405.0,awd,rear_right,France,Western Europe,Lyon,45.67264,4.83621,temperate,mixed,2019-07-28,summer,22298.0,7.58,6.2,5.98,6.18,6.17,1.38,0.62,96464.0,74166.0,A,B,74.7,7.35,227.4,2.36,low,0
TYR00028,Hankook,HAN-Grip-658,205/55 R16,205,55,16,all-season,mid-range,suv,2141.0,fwd,rear_right,Portugal,Southern Europe,Lisbon,38.75862,-9.16399,mediterranean,rural,2023-10-18,autumn,25121.0,8.56,6.69,6.42,6.74,6.58,1.87,0.746,93319.0,68197.0,C,A,73.1,5.66,233.0,2.5,low,0
TYR00029,Hankook,HAN-Eco-466,255/40 R19,255,40,19,all-season,mid-range,family,1189.0,rwd,front_right,Portugal,Southern Europe,Lisbon,38.69851,-9.13134,mediterranean,urban,2022-06-16,summer,47224.0,8.22,6.04,5.29,6.23,5.97,2.18,0.462,143171.0,95948.0,B,E,71.2,6.71,246.84,1.72,low,0
TYR00030,Pirelli,PIR-Drive-125,195/65 R15,195,65,15,winter,premium,fleet,1519.0,rwd,front_right,France,Western Europe,Lyon,45.88918,4.80676,temperate,highway,2020-10-27,autumn,38943.0,8.15,6.16,5.89,6.27,6.09,1.99,0.51,128275.0,89332.0,E,D,73.4,3.56,273.27,2.13,low,0
TYR00031,Hankook,HAN-Grip-304,235/45 R18,235,45,18,all-season,mid-range,family,1424.0,rwd,front_right,Italy,Southern Europe,Milan,45.38352,9.24655,mediterranean,urban,2023-04-16,spring,19597.0,8.04,7.09,6.6,7.11,7.06,0.95,0.486,132475.0,112878.0,D,D,73.5,4.43,238.64,1.8,low,0
TYR00032,Hankook,HAN-Tour-459,225/45 R17,225,45,17,summer,mid-range,family,1565.0,fwd,front_right,Norway,Northern Europe,Oslo,59.85266,10.82421,cold,mountain,2022-09-06,autumn,24747.0,8.2,5.26,4.92,5.21,5.11,2.94,1.189,55479.0,30733.0,B,A,73.6,6.65,230.99,4.16,low,0
TYR00033,Yokohama,YOK-Eco-710,255/40 R19,255,40,19,winter,mid-range,city,1309.0,fwd,rear_left,Poland,Eastern Europe,Warsaw,52.13719,20.9887,continental,highway,2025-07-06,summer,11499.0,7.67,6.93,6.68,7.03,6.73,0.75,0.65,93437.0,81939.0,E,B,70.0,3.66,245.01,2.62,low,0
TYR00034,Hankook,HAN-Drive-101,225/45 R17,225,45,17,winter,mid-range,fleet,1491.0,awd,front_left,Sweden,Northern Europe,Stockholm,59.39431,18.08793,cold,mountain,2025-06-19,summer,28929.0,8.87,5.58,5.09,5.55,5.32,3.29,1.137,63976.0,35047.0,A,A,72.9,7.31,216.47,3.38,low,0
TYR00035,Pirelli,PIR-Tour-619,225/45 R17,225,45,17,winter,premium,city,1007.0,awd,rear_left,Poland,Eastern Europe,Warsaw,52.12709,21.06931,continental,rural,2022-07-09,summer,18585.0,8.6,6.9,6.59,6.82,6.87,1.69,0.912,76766.0,58181.0,C,A,72.3,5.7,265.16,3.45,low,0
TYR00036,Yokohama,YOK-Grip-730,225/45 R17,225,45,17,winter,mid-range,suv,2145.0,awd,front_right,Germany,Western Europe,Berlin,52.36505,13.38016,continental,highway,2023-09-19,autumn,29388.0,7.25,4.87,4.65,4.79,4.48,2.38,0.81,69774.0,40385.0,C,B,72.7,6.65,246.13,3.53,low,0
TYR00037,Bridgestone,BRI-Tour-576,235/45 R18,235,45,18,all-season,mid-range,city,1186.0,rwd,rear_left,Czechia,Eastern Europe,Prague,50.06157,14.57123,continental,highway,2023-10-27,autumn,11161.0,8.9,8.17,8.08,8.22,7.9,0.72,0.648,112554.0,101394.0,D,C,75.5,4.32,275.18,2.44,low,0
TYR00038,BudgetRoad,BUD-Tour-195,205/55 R16,205,55,16,all-season,budget,ev,1771.0,awd,front_right,Norway,Northern Europe,Oslo,59.70872,10.81499,cold,urban,2022-03-08,spring,44418.0,8.83,4.5,4.28,4.5,4.23,4.33,0.974,74217.0,29800.0,C,C,72.7,5.72,161.98,2.18,low,0
TYR00039,Bridgestone,BRI-Drive-524,205/55 R16,205,55,16,summer,mid-range,family,1379.0,fwd,front_left,France,Western Europe,Lyon,45.88387,4.79899,temperate,highway,2024-04-30,spring,69240.0,8.55,3.91,3.66,4.01,3.83,4.64,0.67,103744.0,34504.0,C,C,74.1,5.28,243.44,2.35,medium,1
TYR00040,Pirelli,PIR-Sport-575,235/45 R18,235,45,18,winter,premium,ev,2208.0,fwd,front_right,Czechia,Eastern Europe,Prague,49.99742,14.36495,continental,urban,2020-03-12,spring,16720.0,7.62,6.27,5.99,6.36,6.23,1.35,0.805,74795.0,58075.0,D,A,74.6,4.47,304.25,4.07,low,0
TYR00041,Pirelli,PIR-Drive-950,195/65 R15,195,65,15,winter,premium,family,1462.0,rwd,rear_left,Portugal,Southern Europe,Lisbon,38.60257,-9.21313,mediterranean,mountain,2025-11-14,autumn,14823.0,8.06,7.09,6.72,7.07,6.93,0.97,0.654,98833.0,84010.0,D,D,70.5,5.01,254.65,2.58,low,0
TYR00042,BudgetRoad,BUD-Grip-381,205/55 R16,205,55,16,all-season,budget,ev,1706.0,rwd,rear_left,Poland,Eastern Europe,Warsaw,52.32472,20.93055,continental,highway,2022-02-09,winter,31925.0,7.28,4.27,4.22,4.33,4.14,3.01,0.943,60256.0,28331.0,D,B,74.6,3.49,161.93,2.69,low,0
TYR00043,Continental,CON-Grip-823,225/45 R17,225,45,17,summer,premium,suv,2035.0,rwd,rear_left,Norway,Northern Europe,Oslo,59.9493,10.85217,cold,rural,2019-11-27,autumn,21409.0,7.63,5.33,5.02,5.48,5.15,2.3,1.074,56192.0,34783.0,A,A,74.1,7.88,286.31,5.1,low,0
TYR00044,Continental,CON-Sport-812,235/45 R18,235,45,18,winter,premium,suv,1974.0,awd,rear_right,France,Western Europe,Lyon,45.79576,4.84053,temperate,mountain,2019-09-13,autumn,26906.0,8.43,5.71,5.33,5.73,5.49,2.72,1.013,67469.0,40563.0,A,B,72.0,7.59,310.13,4.6,low,0
TYR00045,Yokohama,YOK-Sport-325,235/45 R18,235,45,18,summer,mid-range,suv,1823.0,rwd,rear_right,Portugal,Southern Europe,Lisbon,38.71249,-9.05964,mediterranean,mountain,2025-01-13,winter,25978.0,8.7,6.37,6.12,6.31,6.17,2.33,0.895,79292.0,53314.0,D,C,71.3,4.68,242.56,3.06,low,0
TYR00046,Pirelli,PIR-Grip-737,225/45 R17,225,45,17,winter,premium,ev,1777.0,fwd,rear_right,Norway,Northern Europe,Oslo,59.87358,10.70195,cold,mixed,2023-07-15,summer,30445.0,8.43,5.03,4.79,5.01,5.0,3.4,1.117,61190.0,30745.0,C,D,73.6,5.24,302.22,4.94,low,0
TYR00047,Michelin,MIC-Eco-366,235/45 R18,235,45,18,all-season,premium,fleet,1434.0,awd,front_left,Poland,Eastern Europe,Warsaw,52.01587,21.04387,continental,urban,2023-10-22,autumn,20209.0,8.66,7.41,7.1,7.26,7.4,1.25,0.619,114063.0,93854.0,A,B,74.6,7.45,320.87,2.81,low,0
TYR00048,Hankook,HAN-Eco-867,205/55 R16,205,55,16,winter,mid-range,suv,1760.0,rwd,rear_right,Sweden,Northern Europe,Stockholm,59.3974,18.01202,cold,mixed,2023-09-23,autumn,21920.0,8.46,6.19,5.77,6.33,6.18,2.27,1.036,66232.0,44312.0,B,A,77.5,6.66,221.54,3.34,low,0
TYR00049,Michelin,MIC-Grip-344,225/45 R17,225,45,17,summer,premium,city,1336.0,awd,front_left,Poland,Eastern Europe,Warsaw,52.29618,20.90483,continental,urban,2021-10-09,autumn,29522.0,7.48,5.31,4.75,5.23,5.08,2.16,0.733,80198.0,50676.0,A,A,72.2,7.54,306.74,3.82,low,0
TYR00050,BudgetRoad,BUD-Eco-896,195/65 R15,195,65,15,all-season,budget,family,1401.0,rwd,rear_left,Italy,Southern Europe,Milan,45.37044,9.10253,mediterranean,mixed,2020-11-18,autumn,36127.0,8.04,6.14,6.07,6.13,6.13,1.9,0.527,122264.0,86138.0,C,E,72.0,5.93,162.59,1.33,low,0
TYR00051,Bridgestone,BRI-Grip-204,195/65 R15,195,65,15,all-season,mid-range,city,1255.0,rwd,rear_right,Italy,Southern Europe,Milan,45.4724,9.1782,mediterranean,mountain,2021-03-23,spring,16660.0,7.48,6.26,6.02,6.21,6.12,1.22,0.733,80285.0,63625.0,A,C,74.0,6.81,243.28,3.03,low,0
TYR00052,Continental,CON-Drive-942,255/40 R19,255,40,19,summer,premium,suv,2273.0,awd,rear_right,Germany,Western Europe,Berlin,52.36954,13.37957,continental,mixed,2019-10-10,autumn,26728.0,7.51,5.06,4.91,5.14,4.88,2.44,0.914,64627.0,37898.0,B,B,74.9,6.74,342.44,5.3,low,0
TYR00053,Continental,CON-Tour-730,235/45 R18,235,45,18,winter,premium,ev,1940.0,awd,front_right,Norway,Northern Europe,Oslo,59.90687,10.82742,cold,mountain,2020-12-22,winter,23744.0,7.94,5.72,5.51,5.81,5.45,2.22,0.935,67768.0,44024.0,C,E,71.9,5.77,337.3,4.98,low,0
TYR00054,BudgetRoad,BUD-Drive-683,235/45 R18,235,45,18,winter,budget,fleet,1878.0,rwd,rear_left,Poland,Eastern Europe,Warsaw,52.33934,20.97348,continental,highway,2019-12-21,winter,29671.0,7.52,6.06,5.82,5.92,5.98,1.46,0.493,120012.0,90341.0,B,B,72.4,5.98,189.62,1.58,low,0
TYR00055,Yokohama,YOK-Tour-710,225/45 R17,225,45,17,summer,mid-range,ev,2368.0,rwd,front_right,Czechia,Eastern Europe,Prague,50.12485,14.35782,continental,mountain,2021-05-18,spring,15111.0,7.2,5.77,5.71,5.84,5.76,1.44,0.95,59006.0,43895.0,B,B,73.9,6.45,241.41,4.09,low,0
TYR00056,Michelin,MIC-Drive-558,255/40 R19,255,40,19,summer,premium,city,1095.0,fwd,rear_right,Germany,Western Europe,Berlin,52.63834,13.54855,continental,mountain,2025-03-24,spring,32153.0,7.5,4.45,4.38,4.34,4.4,3.05,0.949,62215.0,30062.0,D,C,74.5,4.28,332.6,5.35,low,0
TYR00057,Continental,CON-Tour-535,225/45 R17,225,45,17,summer,premium,ev,2164.0,awd,front_right,Portugal,Southern Europe,Lisbon,38.75261,-9.23809,mediterranean,mixed,2025-07-10,summer,27524.0,8.3,6.99,6.82,6.99,6.94,1.31,0.476,140725.0,113202.0,B,B,74.2,6.33,329.0,2.34,low,0
TYR00058,Hankook,HAN-Eco-860,225/45 R17,225,45,17,all-season,mid-range,ev,1729.0,rwd,rear_left,Poland,Eastern Europe,Warsaw,52.23258,21.01183,continental,mixed,2021-08-02,summer,26499.0,7.44,4.71,4.45,4.75,4.61,2.72,1.028,56784.0,30285.0,A,A,70.5,7.34,224.94,3.96,low,0
TYR00059,Goodyear,GOO-Tour-114,205/55 R16,205,55,16,summer,premium,ev,1860.0,rwd,rear_left,Poland,Eastern Europe,Warsaw,52.16096,20.96919,continental,urban,2021-03-06,spring,19712.0,8.24,6.7,6.37,6.63,6.55,1.54,0.779,85194.0,65482.0,B,B,72.2,6.55,295.98,3.47,low,0
TYR00060,Goodyear,GOO-Tour-580,225/45 R17,225,45,17,summer,premium,city,1285.0,awd,rear_left,Poland,Eastern Europe,Warsaw,52.32028,20.96065,continental,highway,2024-07-03,summer,27246.0,7.98,5.92,5.83,5.93,5.85,2.06,0.755,84422.0,57176.0,A,A,72.5,8.15,277.88,3.29,low,0
TYR00061,BudgetRoad,BUD-Eco-255,225/45 R17,225,45,17,summer,budget,city,1213.0,rwd,rear_right,Norway,Northern Europe,Oslo,59.9018,10.78681,cold,urban,2019-09-25,autumn,23421.0,7.86,5.56,5.36,5.66,5.11,2.3,0.984,63664.0,40243.0,B,A,73.7,7.15,169.36,2.66,low,0
TYR00062,Bridgestone,BRI-Sport-489,195/65 R15,195,65,15,summer,mid-range,city,1227.0,awd,rear_right,Italy,Southern Europe,Milan,45.56356,9.28041,mediterranean,rural,2025-09-07,autumn,35014.0,8.14,5.56,5.27,5.5,5.36,2.58,0.738,88644.0,53630.0,D,A,74.7,4.72,256.49,2.89,low,0
TYR00063,BudgetRoad,BUD-Grip-370,225/45 R17,225,45,17,all-season,budget,ev,1717.0,rwd,front_left,Norway,Northern Europe,Oslo,59.885,10.78036,cold,rural,2020-02-11,winter,12193.0,7.91,6.21,5.77,6.12,6.17,1.7,1.393,45301.0,33108.0,E,B,75.1,3.54,191.62,4.23,low,0
TYR00064,Goodyear,GOO-Tour-133,205/55 R16,205,55,16,summer,premium,fleet,1605.0,fwd,front_right,Spain,Southern Europe,Madrid,40.51988,-3.69886,mediterranean,urban,2023-08-01,summer,23572.0,8.6,7.32,7.09,7.25,7.28,1.27,0.541,129409.0,105837.0,B,C,72.9,7.12,257.17,1.99,low,0
TYR00065,Bridgestone,BRI-Drive-217,225/45 R17,225,45,17,all-season,mid-range,ev,2393.0,fwd,front_right,France,Western Europe,Lyon,45.71908,4.89153,temperate,mixed,2025-08-12,summer,7880.0,8.48,7.7,7.57,7.78,7.53,0.78,0.99,69502.0,61623.0,C,E,73.6,5.93,285.09,4.1,low,0
TYR00066,Pirelli,PIR-Tour-549,205/55 R16,205,55,16,winter,premium,family,1500.0,fwd,front_left,Poland,Eastern Europe,Warsaw,52.07705,21.00285,continental,highway,2022-06-13,summer,13534.0,7.69,6.87,6.57,7.06,6.58,0.82,0.609,100094.0,86560.0,C,D,71.6,5.34,262.85,2.63,low,0
TYR00067,BudgetRoad,BUD-Tour-718,225/45 R17,225,45,17,all-season,budget,ev,1797.0,rwd,rear_right,Spain,Southern Europe,Madrid,40.40552,-3.58126,mediterranean,mountain,2019-11-26,autumn,30751.0,7.74,4.82,4.66,4.81,4.6,2.92,0.949,64624.0,33873.0,C,D,74.5,5.66,186.61,2.89,low,0
TYR00068,Michelin,MIC-Drive-631,195/65 R15,195,65,15,summer,premium,fleet,2022.0,awd,front_left,Germany,Western Europe,Berlin,52.44964,13.58753,continental,mixed,2025-06-18,summer,13200.0,7.56,6.82,6.49,6.85,6.8,0.75,0.565,105552.0,92351.0,A,C,72.2,7.2,270.84,2.57,low,0
TYR00069,Bridgestone,BRI-Eco-978,205/55 R16,205,55,16,all-season,mid-range,ev,1935.0,awd,rear_right,Norway,Northern Europe,Oslo,59.95582,10.8105,cold,urban,2024-04-09,spring,4708.0,7.4,7.13,6.73,7.13,6.93,0.26,0.555,104445.0,99736.0,B,B,72.0,6.85,274.4,2.63,low,0
TYR00070,Hankook,HAN-Tour-218,235/45 R18,235,45,18,all-season,mid-range,ev,1848.0,rwd,rear_right,Italy,Southern Europe,Milan,45.3841,9.32469,mediterranean,rural,2019-05-31,spring,13558.0,8.85,7.81,7.62,7.81,7.71,1.04,0.77,94128.0,80569.0,B,B,75.1,7.2,267.5,2.84,low,0
TYR00071,Michelin,MIC-Drive-878,255/40 R19,255,40,19,winter,premium,ev,1881.0,fwd,front_right,Sweden,Northern Europe,Stockholm,59.29072,18.14855,cold,rural,2023-01-21,winter,23722.0,7.97,5.42,5.13,5.36,5.32,2.54,1.073,59347.0,35625.0,C,B,75.5,5.48,369.93,6.23,low,0
TYR00072,Pirelli,PIR-Grip-826,225/45 R17,225,45,17,all-season,premium,family,1635.0,rwd,rear_right,Portugal,Southern Europe,Lisbon,38.85191,-9.1102,mediterranean,mountain,2020-05-12,spring,16631.0,8.22,6.93,6.45,6.9,6.87,1.28,0.772,85667.0,69035.0,A,C,72.7,7.51,274.76,3.21,low,0
TYR00073,Bridgestone,BRI-Grip-610,255/40 R19,255,40,19,summer,mid-range,fleet,1801.0,rwd,front_left,Italy,Southern Europe,Milan,45.53184,9.06395,mediterranean,highway,2020-04-09,spring,26606.0,7.76,6.08,5.59,6.09,6.01,1.68,0.633,97418.0,70812.0,B,A,73.4,5.54,281.89,2.89,low,0
TYR00074,Bridgestone,BRI-Sport-864,235/45 R18,235,45,18,winter,mid-range,ev,1993.0,fwd,rear_right,Germany,Western Europe,Berlin,52.55232,13.45024,continental,rural,2020-08-15,summer,34413.0,8.16,5.82,5.55,5.6,5.77,2.33,0.678,96680.0,62267.0,B,D,72.5,6.86,279.85,2.89,low,0
TYR00075,Continental,CON-Sport-775,225/45 R17,225,45,17,winter,premium,suv,1919.0,awd,rear_left,Italy,Southern Europe,Milan,45.37822,9.26012,mediterranean,urban,2022-03-04,spring,17354.0,7.84,7.05,6.91,7.08,6.8,0.79,0.454,137332.0,119977.0,C,D,70.7,5.83,295.87,2.15,low,0
TYR00076,Goodyear,GOO-Grip-814,235/45 R18,235,45,18,all-season,premium,ev,2092.0,rwd,rear_left,Norway,Northern Europe,Oslo,59.90517,10.73197,cold,rural,2025-02-03,winter,77567.0,7.93,1.1,1.0,1.02,1.0,9.49,1.223,77567.0,0.0,B,E,74.5,6.17,317.72,4.1,critical,3
TYR00077,Yokohama,YOK-Grip-607,205/55 R16,205,55,16,winter,mid-range,city,1287.0,rwd,rear_right,France,Western Europe,Lyon,45.87029,4.93535,temperate,mountain,2023-05-01,spring,21359.0,8.16,6.22,6.14,6.08,6.08,1.95,0.911,72087.0,50728.0,E,D,72.1,3.67,210.63,2.92,low,0
TYR00078,Goodyear,GOO-Grip-519,255/40 R19,255,40,19,all-season,premium,suv,2014.0,fwd,rear_right,Portugal,Southern Europe,Lisbon,38.72983,-9.0394,mediterranean,urban,2024-11-24,autumn,25527.0,8.13,6.67,6.41,6.77,6.22,1.45,0.569,114631.0,89104.0,D,A,70.9,4.43,302.11,2.64,low,0
TYR00079,Continental,CON-Drive-424,235/45 R18,235,45,18,winter,premium,suv,1648.0,awd,rear_right,Italy,Southern Europe,Milan,45.42487,9.14355,mediterranean,urban,2022-09-07,autumn,19557.0,7.55,5.91,5.69,5.96,5.68,1.64,0.839,70958.0,51401.0,D,D,72.8,4.35,324.18,4.57,low,0
